geoid,name,stateAbbreviation,stateFips,countyFips,population,populationMoe,enrolled,enrolledMoe,enrollmentPercent,under19,under19Moe,age19To64,age19To64Moe,age65Plus,age65PlusMoe
10001,"Kent County, Delaware",DE,10,001,184007,504,43788,1831,23.8,18478,1233,21051,1254,4259,510
10003,"New Castle County, Delaware",DE,10,003,570679,387,107935,3008,18.91,44674,1964,52853,2127,10408,815
10005,"Sussex County, Delaware",DE,10,005,252881,201,54919,1762,21.72,24053,1122,24904,1280,5962,456
11001,"District of Columbia, District of Columbia",DC,11,001,671766,453,167576,3197,24.95,58514,1891,87307,2357,21755,1045
12001,"Alachua County, Florida",FL,12,001,282974,109,39115,1969,13.82,17983,1282,14959,1290,6173,754
12003,"Baker County, Florida",FL,12,003,25733,105,5073,765,19.71,2704,578,1984,465,385,185
12005,"Bay County, Florida",FL,12,005,181841,554,32000,1508,17.6,16739,1066,11371,939,3890,506
12007,"Bradford County, Florida",FL,12,007,24180,75,6195,675,25.62,2960,440,2691,475,544,192
12009,"Brevard County, Florida",FL,12,009,625754,649,95339,2830,15.24,41008,1747,37985,1968,16346,1042
12011,"Broward County, Florida",FL,12,011,1963742,444,326321,5337,16.62,166527,3761,103132,3153,56662,2096
12013,"Calhoun County, Florida",FL,12,013,11752,27,3392,403,28.86,1688,265,1195,250,509,172
12015,"Charlotte County, Florida",FL,12,015,197014,98,27306,1433,13.86,10377,827,10395,901,6534,747
12017,"Citrus County, Florida",FL,12,017,160194,69,31264,1416,19.52,12400,894,12624,945,6240,559
12019,"Clay County, Florida",FL,12,019,223382,532,32196,1800,14.41,17133,1386,11475,1073,3588,411
12021,"Collier County, Florida",FL,12,021,396134,74,47922,2207,12.1,24612,1488,14000,1431,9310,779
12023,"Columbia County, Florida",FL,12,023,67679,110,17579,1048,25.97,8709,713,6652,686,2218,345
12027,"DeSoto County, Florida",FL,12,027,33647,26,8432,790,25.06,4015,436,3701,630,716,193
12029,"Dixie County, Florida",FL,12,029,15416,38,4473,476,29.02,1942,286,1801,333,730,184
12031,"Duval County, Florida",FL,12,031,999339,1377,186978,4316,18.71,92745,3280,70893,2559,23340,1149
12033,"Escambia County, Florida",FL,12,033,308976,838,65041,2271,21.05,32849,1597,24618,1496,7574,606
12035,"Flagler County, Florida",FL,12,035,125829,89,19407,1250,15.42,8271,844,6527,702,4609,598
12037,"Franklin County, Florida",FL,12,037,10939,26,1909,309,17.45,931,242,633,153,345,115
12039,"Gadsden County, Florida",FL,12,039,41091,72,11023,828,26.83,4819,507,4561,585,1643,293
12041,"Gilchrist County, Florida",FL,12,041,18125,30,3439,417,18.97,1489,235,1536,315,414,138
12043,"Glades County, Florida",FL,12,043,11436,42,2200,371,19.24,813,178,1036,304,351,117
12045,"Gulf County, Florida",FL,12,045,12523,178,2696,364,21.53,1196,221,986,234,514,170
12047,"Hamilton County, Florida",FL,12,047,11187,56,3218,383,28.77,1685,282,1108,228,425,122
12049,"Hardee County, Florida",FL,12,049,24109,34,6680,655,27.71,3924,475,2269,424,487,155
12051,"Hendry County, Florida",FL,12,051,41568,23,12487,994,30.04,7305,697,3985,651,1197,279
12053,"Hernando County, Florida",FL,12,053,205223,54,40096,1532,19.54,18816,942,15205,1049,6075,600
12055,"Highlands County, Florida",FL,12,055,104496,110,21719,1126,20.78,8950,718,7947,694,4822,521
12057,"Hillsborough County, Florida",FL,12,057,1507677,766,272902,4699,18.1,134982,3386,99700,2840,38220,1597
12059,"Holmes County, Florida",FL,12,059,17709,41,4268,419,24.1,2127,301,1489,245,652,157
12061,"Indian River County, Florida",FL,12,061,165069,483,26064,1479,15.79,10949,954,9626,965,5489,588
12063,"Jackson County, Florida",FL,12,063,41824,97,12116,707,28.97,5737,388,4883,532,1496,257
12065,"Jefferson County, Florida",FL,12,065,13936,55,3269,419,23.46,1562,301,1064,251,643,149
12067,"Lafayette County, Florida",FL,12,067,6719,28,1822,368,27.12,597,203,1045,297,180,76
12069,"Lake County, Florida",FL,12,069,408612,197,61741,2548,15.11,28635,1926,23646,1439,9460,845
12071,"Lee County, Florida",FL,12,071,812164,133,134951,3346,16.62,63783,2353,46964,1985,24204,1310
12073,"Leon County, Florida",FL,12,073,293671,211,43232,1949,14.72,19783,1240,18177,1425,5272,482
12075,"Levy County, Florida",FL,12,075,45096,6,11204,864,24.84,4857,577,4567,559,1780,319
12077,"Liberty County, Florida",FL,12,077,6171,28,1417,229,22.96,542,126,766,185,109,50
12079,"Madison County, Florida",FL,12,079,16408,29,4999,472,30.47,2054,264,2311,362,634,148
12081,"Manatee County, Florida",FL,12,081,425693,263,57740,2160,13.56,29304,1615,19308,1196,9128,792
12083,"Marion County, Florida",FL,12,083,392063,117,79960,2653,20.39,37273,1777,30073,1757,12614,891
12085,"Martin County, Florida",FL,12,085,158999,70,19368,1324,12.18,8596,894,6707,859,4065,464
12086,"Miami-Dade County, Florida",FL,12,086,2714154,643,619148,6595,22.81,270066,4380,185872,3841,163210,3091
12087,"Monroe County, Florida",FL,12,087,79854,376,11123,865,13.93,4873,609,3967,469,2283,397
12089,"Nassau County, Florida",FL,12,089,96562,181,13816,1245,14.31,6564,869,5229,810,2023,374
12091,"Okaloosa County, Florida",FL,12,091,200873,1066,28539,1543,14.21,14986,1088,9640,965,3913,515
12093,"Okeechobee County, Florida",FL,12,093,38173,74,10087,827,26.42,5677,601,3443,523,967,222
12095,"Orange County, Florida",FL,12,095,1459399,529,240288,4724,16.46,122684,3248,86754,3019,30850,1629
12097,"Osceola County, Florida",FL,12,097,425492,121,95875,3285,22.53,48495,2240,36401,2142,10979,1089
12099,"Palm Beach County, Florida",FL,12,099,1519770,214,220429,4301,14.5,111040,3038,71172,2664,38217,1473
12101,"Pasco County, Florida",FL,12,101,605704,303,105896,2886,17.48,47651,1965,41861,1881,16384,965
12103,"Pinellas County, Florida",FL,12,103,948700,497,135711,3057,14.3,56189,2053,50074,1818,29448,1350
12105,"Polk County, Florida",FL,12,105,782213,369,163139,3666,20.86,82474,2518,58435,2359,22230,1238
12107,"Putnam County, Florida",FL,12,107,74024,63,23806,1139,32.16,11195,831,9804,690,2807,360
12109,"St. Johns County, Florida",FL,12,109,304726,209,24406,1593,8.01,9396,985,10363,1092,4647,613
12111,"St. Lucie County, Florida",FL,12,111,357826,157,65865,2744,18.41,31849,1880,24478,1791,9538,886
12113,"Santa Rosa County, Florida",FL,12,113,188398,763,23987,1642,12.73,12053,1282,8961,929,2973,434
12115,"Sarasota County, Florida",FL,12,115,453581,153,46288,1817,10.21,19281,1228,16332,1115,10675,743
12117,"Seminole County, Florida",FL,12,117,477871,223,59672,2206,12.49,28008,1585,22910,1339,8754,750
12119,"Sumter County, Florida",FL,12,119,135678,138,17729,1255,13.07,6086,566,6201,874,5442,701
12121,"Suwannee County, Florida",FL,12,121,43370,41,12167,1040,28.05,5501,726,5163,630,1503,398
12123,"Taylor County, Florida",FL,12,123,18926,88,5742,667,30.34,2994,509,2214,380,534,203
12125,"Union County, Florida",FL,12,125,11132,104,2905,344,26.1,1819,254,915,223,171,65
12127,"Volusia County, Florida",FL,12,127,571153,349,101454,2915,17.76,45633,2044,38556,1806,17265,1028
12129,"Wakulla County, Florida",FL,12,129,32565,48,5452,662,16.74,2442,420,2310,473,700,194
12131,"Walton County, Florida",FL,12,131,81232,115,12684,1007,15.61,6244,727,4709,633,1731,291
12133,"Washington County, Florida",FL,12,133,22949,76,4734,481,20.63,2091,313,1995,339,648,136
13001,"Appling County, Georgia",GA,13,001,18154,51,5389,532,29.68,3058,323,1663,386,668,173
13003,"Atkinson County, Georgia",GA,13,003,8313,30,2694,308,32.41,1657,241,691,148,346,121
13005,"Bacon County, Georgia",GA,13,005,10733,46,2922,405,27.22,1821,310,850,233,251,117
13007,"Baker County, Georgia",GA,13,007,2790,14,798,184,28.6,339,136,232,83,227,92
13009,"Baldwin County, Georgia",GA,13,009,40478,57,7918,746,19.56,3488,508,3261,494,1169,234
13011,"Banks County, Georgia",GA,13,011,19246,22,3459,419,17.97,1866,287,1047,270,546,143
13013,"Barrow County, Georgia",GA,13,013,89524,43,15885,961,17.74,9608,724,4805,577,1472,259
13015,"Bartow County, Georgia",GA,13,015,111985,173,17493,1142,15.62,9789,851,5562,676,2142,351
13017,"Ben Hill County, Georgia",GA,13,017,16815,6,5111,428,30.4,2708,268,1792,298,611,150
13019,"Berrien County, Georgia",GA,13,019,18030,86,5299,492,29.39,2582,308,2016,344,701,170
13021,"Bibb County, Georgia",GA,13,021,152980,156,42998,1722,28.11,22527,1120,15250,1202,5221,515
13023,"Bleckley County, Georgia",GA,13,023,12004,38,3328,356,27.72,1505,202,1289,251,534,152
13025,"Brantley County, Georgia",GA,13,025,18256,2,3874,468,21.22,2181,336,1192,281,501,165
13027,"Brooks County, Georgia",GA,13,027,15972,63,4066,512,25.46,1889,341,1524,348,653,158
13029,"Bryan County, Georgia",GA,13,029,46041,430,4802,644,10.43,2742,516,1358,339,702,182
13031,"Bulloch County, Georgia",GA,13,031,81925,78,17080,1096,20.85,9875,731,5601,765,1604,285
13033,"Burke County, Georgia",GA,13,033,24260,5,6200,578,25.56,3337,363,1799,405,1064,197
13035,"Butts County, Georgia",GA,13,035,24008,95,4918,620,20.48,2904,497,1556,340,458,147
13037,"Calhoun County, Georgia",GA,13,037,3784,29,1059,153,27.99,624,120,281,81,154,48
13039,"Camden County, Georgia",GA,13,039,52610,434,9101,794,17.3,4943,501,3191,574,967,223
13043,"Candler County, Georgia",GA,13,043,10726,41,3202,427,29.85,1835,312,981,245,386,159
13045,"Carroll County, Georgia",GA,13,045,123530,74,24747,1455,20.03,13323,1044,8280,918,3144,430
13047,"Catoosa County, Georgia",GA,13,047,68121,35,11591,953,17.02,6570,702,3520,566,1501,308
13049,"Charlton County, Georgia",GA,13,049,12220,89,3865,471,31.63,2233,338,1138,304,494,123
